,diff,Open,High,Low,Close,ma12,ma25,bb1_top,bb1_bottom,bb2_top,bb2_bottom,macd,signal,pDI,mDI,diffDI,dx,adx,separation,tenkan,kijun,senkou1,senkou2,chikou,pK,pD
2010-09-02,0.0,0.06,0.06,0.06,0.06,0.06083333333333335,0.06520000000000004,0.07029901951359283,0.06010098048640725,0.0753980390271856,0.05500196097281447,-0.002266079835191455,-0.0020886495194126736,0.0,0.3636363636363636,-0.3636363636363636,1.0,0.304761904761905,-0.0797546012269944,0.065,0.07500000000000001,,,0.06,0.0,0.0
2010-09-03,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06480000000000004,0.06989901951359281,0.059700980486407255,0.0749980390271856,0.05460196097281447,-0.0022105295149904627,-0.0021739655262076915,0.0,0.29999999999999993,-0.29999999999999993,1.0,0.37619047619047646,-0.07407407407407465,0.065,0.07500000000000001,,,0.06,0.0,0.0
2010-09-04,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06440000000000004,0.06946622805119025,0.05933377194880982,0.07453245610238048,0.054267543897619605,-0.0021418159648046095,-0.002216034015563244,0.0,0.33333333333333326,-0.33333333333333326,1.0,0.44761904761904786,-0.06832298136646024,0.065,0.07500000000000001,,,0.06,0.0,0.0
2010-09-05,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06400000000000004,0.06900000000000003,0.05900000000000005,0.07400000000000004,0.054000000000000055,-0.00206357240309428,-0.002223739709325421,0.0,0.375,-0.375,1.0,0.5190476190476193,-0.06250000000000067,0.065,0.07500000000000001,,,0.06,0.0,0.0
2010-09-06,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06360000000000005,0.0684989794855664,0.0587010205144337,0.07339795897113274,0.05380204102886735,-0.001978753972659182,-0.0022044351707137316,0.0,0.4285714285714286,-0.4285714285714286,1.0,0.5666666666666668,-0.05660377358490637,0.065,0.07500000000000001,,,0.06,0.0,0.0
2010-09-07,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06360000000000005,0.0684989794855664,0.0587010205144337,0.07339795897113274,0.05380204102886735,-0.0018897508835985302,-0.0021641887638730786,0.0,0.5000000000000001,-0.5000000000000001,1.0,0.6142857142857144,-0.05660377358490637,0.065,0.07500000000000001,0.08,,0.06,0.0,0.0
2010-09-08,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06320000000000003,0.06796095228569526,0.05843904771430481,0.07272190457139048,0.05367809542860959,-0.0017984834960598564,-0.0021079935589252956,0.0,0.6000000000000003,-0.6000000000000003,1.0,0.6857142857142858,-0.05063291139240561,0.06,0.07500000000000001,0.08,,0.06,,0.0
2010-09-09,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06280000000000004,0.06738257569495587,0.05821742430504421,0.07196515138991169,0.053634848610088375,-0.0017064821696855734,-0.002039943258081018,0.0,0.7500000000000006,-0.7500000000000006,1.0,0.7571428571428572,-0.044585987261147084,0.06,0.07500000000000001,0.07500000000000001,,0.06,,0.0
2010-09-10,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06240000000000004,0.0667588989435407,0.05804110105645938,0.07111779788708136,0.053682202112918714,-0.0016149542681708415,-0.0019633802786949766,0.0,0.7500000000000006,-0.7500000000000006,1.0,0.8285714285714286,-0.038461538461539095,0.06,0.07500000000000001,0.07500000000000001,,0.06,,
2010-09-11,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.062000000000000034,0.06608248290463865,0.057917517095361415,0.07016496580927727,0.0538350341907228,-0.0015248403365775848,-0.0018810203344045468,0.0,0.7500000000000006,-0.7500000000000006,1.0,0.9000000000000001,-0.0322580645161296,0.06,0.07500000000000001,0.07500000000000001,,0.07,,
2010-09-12,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06160000000000004,0.06534165738677396,0.05785834261322611,0.06908331477354789,0.05411668522645218,-0.00143686115556773,-0.0017950571833575764,0.0,0.7500000000000006,-0.7500000000000006,1.0,0.9714285714285715,-0.02597402597402659,0.06,0.07,0.07500000000000001,,0.09,,
2010-09-13,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06120000000000004,0.06451662479035543,0.05788337520964466,0.06783324958071081,0.054566750419289274,-0.001351557111693144,-0.0017072506441229692,-0.0,-0.0,0.0,,,-0.019607843137255564,0.06,0.07,0.07500000000000001,,0.09,,
2010-09-14,0.0,0.06,0.17,0.06,0.06,0.06000000000000002,0.060800000000000035,0.0635688746209727,0.05803112537902736,0.06633774924194538,0.05526225075805469,-0.0012693210988376363,-0.0016190004992055643,1.0000000000000004,0.0,1.0000000000000004,1.0,,-0.013157894736842703,0.115,0.115,0.07500000000000001,,0.1,0.0,0.0
2010-09-15,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06040000000000004,0.06240000000000001,0.05840000000000006,0.06439999999999999,0.05640000000000009,-0.0011904259765281935,-0.0015314084996354545,1.0000000000000004,0.0,1.0000000000000004,1.0,,-0.006622516556292036,0.115,0.115,0.07500000000000001,,0.09,0.0,0.0
2010-09-16,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.0011150474507697627,-0.001445330340432258,1.0000000000000004,0.0,1.0000000000000004,1.0,,-5.782411586589354e-16,0.115,0.115,0.07500000000000001,,0.09,0.0,0.0
2010-09-17,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.001043283107787861,-0.0013614191861798142,1.0000000000000004,0.0,1.0000000000000004,1.0,,-5.782411586589354e-16,0.115,0.115,0.07500000000000001,,0.1,0.0,0.0
2010-09-18,0.0,0.06,0.06,0.06,0.06,0.06000000000000002,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,0.06000000000000003,-0.0009751682167588732,-0.0012801620802990697,1.0000000000000004,0.0,1.0000000000000004,1.0,,-5.782411586589354e-16,0.115,0.115,0.07500000000000001,,0.1,0.0,0.0
